,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
10330.0,0.9992,-0.0001,-0.0001,-0.0001,0.0,0.12,-0.25,0.0,0.01,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,0.06,0.0,0.06,-0.01,0.0,-0.16,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,-0.06,0.19,0.0,0.0,-0.34,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.02,0.02,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,0.0,0.06,0.06,0.0,0.02,-0.31,0.0,3.0,0.0,0.0
10380.0,0.9992,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,0.0,0.01,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,0.0,-0.06,-0.06,0.0,0.03,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,0.0,0.02,-0.35,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.01,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,-0.12,-0.06,0.06,-0.01,0.01,-0.29,0.0,3.0,0.0,0.0
10430.0,0.9992,-0.0001,-0.0001,-0.0001,0.12,0.0,-0.06,0.0,0.02,-0.29,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,0.06,-0.12,0.0,0.0,0.0,-0.2,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0174,-0.0057,0.0,0.0,-0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.12,-0.02,0.02,-0.31,0.0,3.0,0.0,0.0
10480.0,0.9992,-0.0001,-0.0001,-0.0001,0.0,0.0,0.06,0.0,0.01,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,-0.06,0.06,-0.06,-0.01,-0.01,-0.16,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,0.06,-0.06,0.02,0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.06,0.0,0.02,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,-0.06,-0.19,-0.06,0.0,0.0,-0.31,0.0,3.0,0.0,0.0
10530.0,0.9992,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.12,0.0,0.02,-0.26,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,0.06,-0.12,-0.06,-0.01,0.0,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0174,-0.0057,-0.0001,-0.06,-0.12,-0.06,-0.01,0.02,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.0,0.0,0.02,-0.31,0.0,3.0,0.0,0.0
10580.0,0.9992,-0.0001,-0.0001,-0.0001,0.12,0.12,-0.06,-0.01,0.01,-0.26,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,-0.06,0.19,-0.06,0.0,0.01,-0.21,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,0.0,-0.06,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,-0.06,-0.12,0.0,0.01,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.0,-0.31,0.0,3.0,0.0,0.0
10631.0,0.9992,-0.0001,-0.0001,-0.0001,0.0,-0.25,0.19,-0.01,0.01,-0.26,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,0.0,0.12,0.0,0.0,0.0,-0.19,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.0,0.0,0.0,-0.36,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,0.0,0.06,0.06,-0.02,0.0,-0.31,0.0,3.0,0.0,0.0
10681.0,0.9992,-0.0001,-0.0001,-0.0001,0.12,-0.12,-0.06,0.0,0.01,-0.29,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,-0.25,0.25,-0.12,-0.01,0.02,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,0.06,0.06,0.0,0.02,-0.34,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.06,0.06,-0.02,0.0,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,-0.06,0.12,0.12,0.0,0.02,-0.33,0.0,3.0,0.0,0.0
10731.0,0.9992,-0.0001,-0.0001,-0.0001,0.19,0.0,-0.12,0.01,0.01,-0.26,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,0.0,-0.19,-0.06,-0.02,0.01,-0.16,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,-0.06,-0.06,0.0,0.0,-0.33,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.01,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,0.12,0.12,-0.06,-0.01,0.01,-0.32,0.0,3.0,0.0,0.0
10781.0,0.9992,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,0.0,0.02,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,0.0,0.0,0.0,-0.01,0.0,-0.2,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.12,0.0,-0.01,0.01,-0.36,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.06,-0.01,0.0,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,0.0,-0.12,0.0,0.0,0.02,-0.3,0.0,3.0,0.0,0.0
10830.0,0.9992,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,0.0,0.0,-0.28,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,-0.06,0.12,-0.06,-0.01,0.0,-0.21,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,-0.19,-0.06,0.0,0.01,-0.38,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,-0.19,0.0,0.02,0.03,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,-0.25,1.0,0.06,1.48,0.28,-0.01,0.0,3.0,0.0,0.0
10881.0,0.9992,-0.0001,-0.0001,-0.0001,-0.12,-0.19,-0.31,0.18,-0.12,-0.15,0.0,3.0,0.0,0.0,0.999,-0.0419,-0.0126,0.0,-0.75,0.31,-0.56,0.12,0.0,-0.16,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.19,0.25,-0.06,0.14,0.38,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,0.12,-0.06,0.16,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,0.06,2.13,-0.44,2.23,-0.01,-0.08,0.0,3.0,0.0,0.0
10932.0,0.9992,-0.0001,-0.0001,-0.0001,-0.19,-0.19,0.31,0.22,-0.06,-0.11,0.0,3.0,0.0,0.0,0.999,-0.0421,-0.0125,-0.0001,1.12,-0.12,0.44,0.17,-0.07,-0.46,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,0.25,0.25,0.27,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.06,0.31,0.14,0.0,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,-0.63,8.38,5.63,-0.28,0.04,-0.48,0.0,3.0,0.0,0.0
10981.0,0.9992,-0.0001,-0.0001,-0.0001,-0.25,-0.06,-0.56,0.66,0.05,-0.02,0.0,3.0,0.0,0.0,0.999,-0.0422,-0.0123,-0.0001,-1.69,0.25,-0.56,0.84,0.41,-0.05,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.06,0.58,0.31,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.74,0.23,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,2.94,-0.63,-1.55,0.0,-0.84,0.0,3.0,0.0,0.0
11031.0,0.9992,-0.0001,-0.0001,-0.0001,0.5,-0.25,-0.37,0.03,-0.01,-0.33,0.0,3.0,0.0,0.0,0.999,-0.0429,-0.0124,-0.0004,1.19,-1.69,0.63,0.05,-0.64,-0.14,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.37,-1.06,0.37,0.34,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,0.06,1.0,0.05,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.56,-3.75,0.0,0.08,0.21,-0.1,0.0,3.0,0.0,0.0
11081.0,0.9992,-0.0001,-0.0001,-0.0001,0.06,-0.12,1.44,-0.11,0.16,-0.28,0.0,3.0,0.0,0.0,0.999,-0.0422,-0.0129,0.0001,1.63,-0.56,1.37,-0.01,0.6,-0.02,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,-0.19,1.44,-0.19,0.22,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.19,-0.12,1.44,-0.34,0.28,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.5,-1.63,0.19,0.03,0.45,-0.43,0.0,3.0,0.0,0.0
11131.0,0.9992,-0.0001,-0.0001,-0.0001,-0.06,-0.19,0.88,-0.27,0.25,-0.25,0.0,3.0,0.0,0.0,0.999,-0.0421,-0.0129,0.0005,-0.5,-0.31,1.25,-0.38,-0.14,-0.23,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.09,-0.02,-0.37,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,-0.06,1.75,-0.14,0.24,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,-0.06,0.81,2.13,-0.06,-0.3,-0.23,0.0,3.0,0.0,0.0
11182.0,0.9992,-0.0001,-0.0001,-0.0001,0.06,-0.37,3.0,-0.03,0.27,-0.21,0.0,3.0,0.0,0.0,0.999,-0.0421,-0.0127,0.0013,0.06,-0.44,3.25,-0.11,0.0,-0.2,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.31,0.0,3.13,0.08,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.05,0.28,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,-0.06,-1.19,3.69,-0.3,0.05,-0.34,0.0,3.0,0.0,0.0
11231.0,0.9993,-0.0001,-0.0001,-0.0001,0.37,-0.06,-0.06,-0.02,0.21,-0.41,0.0,3.0,0.0,0.0,0.999,-0.0422,-0.0126,0.0029,0.0,-0.25,4.06,-0.06,0.07,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0164,-0.0134,-0.0001,0.0,-0.06,-0.06,0.1,0.02,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0159,-0.0067,0.0037,-0.06,-0.12,4.5,0.0,0.05,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.0,-4.25,4.06,-0.69,-0.29,-0.29,0.0,3.0,0.0,0.0
11281.0,0.9993,-0.0001,-0.0001,-0.0001,0.37,-0.06,-0.06,-0.37,-0.08,0.1,0.0,3.0,0.0,0.0,0.999,-0.0424,-0.0126,0.0048,-0.5,-0.5,4.88,-0.25,-0.3,-0.25,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.31,-0.63,5.0,-0.02,-0.44,-0.3,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.63,-0.06,-0.06,-0.14,0.08,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0001,-0.0001,-0.0001,0.19,-6.44,3.56,0.51,0.06,-0.39,0.0,3.0,0.0,0.0
11332.0,0.9993,-0.0001,-0.0001,-0.0001,0.88,-1.06,5.19,-0.39,-0.06,-0.67,0.0,3.0,0.0,0.0,0.999,-0.0422,-0.0129,0.0071,0.44,-0.5,5.19,-0.38,-0.04,-0.26,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,0.19,4.88,-0.63,0.12,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.61,0.03,0.19,0.0,3.0,0.0,0.0,0.9996,-0.017,-0.0199,0.0082,-0.37,2.5,5.06,-0.23,-0.34,-0.33,0.0,3.0,0.0,0.0
11381.0,0.9992,-0.0001,-0.0001,-0.0001,0.06,-0.25,3.63,0.19,-0.33,-0.3,0.0,3.0,0.0,0.0,0.999,-0.0425,-0.0126,0.0089,-0.75,0.37,3.5,0.09,-0.42,-0.25,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.19,-0.25,3.31,0.1,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.19,3.5,0.13,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.017,-0.019,0.0099,0.19,-0.5,3.44,-0.22,-0.27,-0.29,0.0,3.0,0.0,0.0
11431.0,0.9992,-0.0001,-0.0001,-0.0001,0.31,-0.06,3.25,0.01,-0.14,-0.26,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0126,0.0104,0.94,-0.37,3.19,0.01,0.22,-0.18,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.94,-0.06,-0.06,-0.24,0.28,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.0,2.56,-0.26,-0.11,-0.33,0.0,3.0,0.0,0.0,0.9996,-0.0169,-0.0192,0.0114,0.12,0.37,2.19,0.09,0.62,-0.25,0.0,3.0,0.0,0.0
11483.0,0.9992,-0.0001,-0.0001,-0.0001,-0.12,0.0,1.44,0.04,-0.2,-0.15,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0126,-0.0001,-0.56,0.37,1.06,0.0,-0.15,-0.21,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,-0.63,0.12,1.25,-0.07,-0.02,-0.35,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.19,0.0,1.06,-0.01,-0.22,-0.24,0.0,3.0,0.0,0.0,0.9996,-0.0169,-0.019,0.012,-0.12,-0.12,1.12,-0.24,-0.23,-0.33,0.0,3.0,0.0,0.0
11533.0,0.9991,-0.0001,-0.0001,-0.0001,0.25,-0.06,0.88,-0.05,-0.12,-0.33,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0126,-0.0001,0.31,-0.37,0.81,-0.1,-0.08,-0.16,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.2,-0.06,-0.36,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.2,-0.13,-0.3,0.0,3.0,0.0,0.0,0.9996,-0.017,-0.019,0.0124,0.44,-0.12,0.63,0.0,0.08,-0.28,0.0,3.0,0.0,0.0
11583.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.12,0.44,0.0,0.0,-0.31,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0125,-0.0001,-0.06,0.19,0.12,0.01,0.16,-0.21,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.37,0.0,0.31,-0.2,0.29,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.19,0.0,0.06,-0.11,-0.1,-0.27,0.0,3.0,0.0,0.0,0.9996,-0.017,-0.019,0.0125,-0.12,0.0,-0.31,-0.23,0.21,-0.32,0.0,3.0,0.0,0.0
11633.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,-0.25,-0.69,-0.02,-0.16,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0125,-0.0001,-0.19,-0.25,-0.69,-0.08,-0.22,-0.15,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,-0.44,-0.19,-0.56,-0.05,-0.2,-0.33,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,-0.06,-0.63,-0.06,-0.15,-0.32,0.0,3.0,0.0,0.0,0.9996,-0.017,-0.019,0.0123,0.19,0.31,-0.63,0.05,-0.06,-0.32,0.0,3.0,0.0,0.0
11683.0,0.9991,-0.0001,-0.0001,-0.0001,-0.12,0.12,-0.69,0.16,-0.02,-0.25,0.0,3.0,0.0,0.0,0.999,-0.0422,-0.0125,-0.0001,0.12,-0.12,-1.19,0.12,0.11,-0.23,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.37,0.25,-0.06,0.02,0.18,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.05,0.0,-0.28,0.0,3.0,0.0,0.0,0.9996,-0.017,-0.019,0.0119,-0.06,-0.37,-1.37,0.12,0.21,-0.31,0.0,3.0,0.0,0.0
11732.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.0,-1.5,0.04,-0.01,-0.3,0.0,3.0,0.0,0.0,0.999,-0.0422,-0.0126,0.0109,-0.19,-0.19,-1.5,0.0,-0.07,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0164,-0.0131,-0.0001,-0.31,0.12,-0.06,0.07,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,-0.19,-1.44,0.09,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9996,-0.0169,-0.019,0.0114,0.12,0.31,-1.12,0.07,-0.14,-0.3,0.0,3.0,0.0,0.0
11784.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.08,0.11,-0.26,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0126,-0.0001,0.06,-0.06,-0.06,0.01,0.08,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,0.0,-0.06,0.03,0.08,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.02,0.15,-0.27,0.0,3.0,0.0,0.0,0.9996,-0.0169,-0.019,0.0109,0.06,-0.25,-0.94,0.15,0.16,-0.28,0.0,3.0,0.0,0.0
11834.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.88,0.02,0.1,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0126,-0.0001,-0.19,0.0,-0.81,0.0,-0.12,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.25,0.06,-0.06,0.08,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.19,0.06,-0.06,0.11,0.07,-0.3,0.0,3.0,0.0,0.0,0.9996,-0.0169,-0.019,0.0106,0.12,0.12,-0.37,-0.02,-0.11,-0.32,0.0,3.0,0.0,0.0
11884.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.02,0.12,-0.28,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0126,-0.0001,0.19,-0.19,0.0,0.01,0.07,-0.18,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,0.12,-0.06,0.04,0.07,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,0.12,0.19,0.03,0.12,-0.28,0.0,3.0,0.0,0.0,0.9996,-0.0169,-0.0192,0.0106,0.0,-0.06,0.19,0.15,0.17,-0.31,0.0,3.0,0.0,0.0
11934.0,0.9992,-0.0001,-0.0001,-0.0001,-0.06,0.12,0.25,0.06,0.01,-0.28,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0126,-0.0001,-0.12,0.06,0.25,0.04,-0.05,-0.18,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.19,0.08,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,0.25,0.37,0.06,-0.01,-0.27,0.0,3.0,0.0,0.0,0.9996,-0.0169,-0.0192,0.0106,-0.06,0.0,0.44,0.01,-0.09,-0.32,0.0,3.0,0.0,0.0
11983.0,0.9992,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.01,0.0,-0.29,0.0,3.0,0.0,0.0,0.999,-0.0424,-0.0127,-0.0001,0.25,-0.06,-0.06,0.0,0.07,-0.19,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.44,-0.01,0.06,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.06,0.56,-0.03,0.0,-0.28,0.0,3.0,0.0,0.0,0.9996,-0.0168,-0.0193,0.0106,0.06,0.25,0.37,0.01,0.12,-0.33,0.0,3.0,0.0,0.0
12034.0,0.9991,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.12,0.02,-0.05,-0.25,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0127,-0.0001,-0.19,-0.06,0.12,-0.02,-0.03,-0.15,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.19,-0.01,-0.04,-0.34,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,0.31,0.12,-0.03,-0.05,-0.29,0.0,3.0,0.0,0.0,0.9996,-0.0168,-0.0193,0.0106,0.06,-0.06,0.12,0.0,-0.05,-0.29,0.0,3.0,0.0,0.0
12084.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.19,0.06,0.0,-0.01,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0424,-0.0127,0.0099,0.0,-0.06,-0.06,-0.01,0.06,-0.18,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.12,0.06,-0.06,-0.04,0.05,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,-0.01,-0.3,0.0,3.0,0.0,0.0,0.9996,-0.0168,-0.0193,0.0106,0.12,0.19,-0.12,-0.04,0.08,-0.3,0.0,3.0,0.0,0.0
12134.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.01,-0.01,-0.29,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0127,0.0099,-0.12,-0.37,-0.19,0.0,-0.02,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,0.0,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,0.0,-0.06,0.0,0.0,-0.28,0.0,3.0,0.0,0.0,0.9996,-0.0168,-0.0193,0.0106,0.06,-0.19,-0.12,0.06,-0.02,-0.29,0.0,3.0,0.0,0.0
12184.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.05,0.03,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0424,-0.0127,0.0099,-0.06,0.19,-0.06,0.03,0.06,-0.21,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,0.02,0.06,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.03,0.01,-0.3,0.0,3.0,0.0,0.0,0.9996,-0.0168,-0.0194,0.0106,-0.06,0.0,-0.12,0.0,0.04,-0.31,0.0,3.0,0.0,0.0
12234.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.01,0.04,-0.27,0.0,3.0,0.0,0.0,0.999,-0.0423,-0.0127,0.0099,0.0,-0.06,-0.06,-0.01,-0.03,-0.17,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.02,-0.01,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,0.0,0.12,0.0,0.02,0.01,-0.3,0.0,3.0,0.0,0.0,0.9996,-0.0168,-0.0194,0.0106,0.06,0.06,0.06,0.06,0.0,-0.3,0.0,3.0,0.0,0.0
12284.0,0.9991,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.03,0.04,-0.28,0.0,3.0,0.0,0.0,0.999,-0.0424,-0.0127,0.0099,-0.06,0.06,0.06,0.02,0.06,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0164,-0.0135,-0.0001,0.0,-0.06,-0.06,0.0,0.02,-0.01,0.0,3.0,0.0,0.0,0.9998,-0.0001,-0.0001,-0.0001,-0.12,0.25,0.0,0.0,0.02,-0.28,0.0,3.0,0.0,0.0,0.9996,-0.0168,-0.0195,0.0106,0.0,0.12,-0.06,0.03,0.0,-0.32,0.0,3.0,0.0,0.0
